Cruise,year,month,day,D/N,tow,net,ID,Latitude,Longitude,ISO_DateTime_UTC,local_time,cruise_tow_net,flow vol_filt,min_depth,max_depth,DPI,temp,sal,CTD used,avg. t,avg sal,avg fluor,max fluor,avg o2,avg PAR,DIC(umol/kg),TA_final(umolkg-1),Si_um/kg ,pH_corr(2),PO4_um/kg,NO2+NO3 (um/kg),uM NH4
ae2112,2021,7,14,D,22,1,22,31.657917,-64.167167,2021-07-14T14:30:00Z,10:30:00,ae2112_m22_n1,269,500.3,599.7,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,D,22,2,22,31.657917,-64.167167,2021-07-14T14:30:00Z,10:30:00,ae2112_m22_n2,460,400.1,500.3,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,D,22,3,22,31.657917,-64.167167,2021-07-14T14:30:00Z,10:30:00,ae2112_m22_n3,510,300.6,400.1,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,D,22,4,22,31.657917,-64.167167,2021-07-14T14:30:00Z,10:30:00,ae2112_m22_n4,321.7,196,300.6,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,D,22,5,22,31.657917,-64.167167,2021-07-14T14:30:00Z,10:30:00,ae2112_m22_n5,97.9,174,196,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,D,22,6,22,31.657917,-64.167167,2021-07-14T14:30:00Z,10:30:00,ae2112_m22_n6,93.1,149,174,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,D,22,7,22,31.657917,-64.167167,2021-07-14T14:30:00Z,10:30:00,ae2112_m22_n7,287,74.1,149,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,D,22,8,22,31.657917,-64.167167,2021-07-14T14:30:00Z,10:30:00,ae2112_m22_n8,336.2,0,74.1,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,N,23,1,23,31.662817,-64.148983,2021-07-15T01:35:00Z,21:35:00,ae2112_m23_n1,457.8,500.4,600.6,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,N,23,2,23,31.662817,-64.148983,2021-07-15T01:35:00Z,21:35:00,ae2112_m23_n2,389.5,400.4,500.4,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,N,23,3,23,31.662817,-64.148983,2021-07-15T01:35:00Z,21:35:00,ae2112_m23_n3,370.2,299.9,400.4,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,N,23,4,23,31.662817,-64.148983,2021-07-15T01:35:00Z,21:35:00,ae2112_m23_n4,379.3,200.1,299.9,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,N,23,5,23,31.662817,-64.148983,2021-07-15T01:35:00Z,21:35:00,ae2112_m23_n5,131.7,175.6,200.1,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,N,23,6,23,31.662817,-64.148983,2021-07-15T01:35:00Z,21:35:00,ae2112_m23_n6,145.6,150.5,175.6,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,N,23,7,23,31.662817,-64.148983,2021-07-15T01:35:00Z,21:35:00,ae2112_m23_n7,300.1,74.8,150.5,4800,,,,,,,,,,,,,,,,
ae2112,2021,7,14,N,23,8,23,31.662817,-64.148983,2021-07-15T01:35:00Z,21:35:00,ae2112_m23_n8,378.8,0,74.8,4800,,,,,,,,,,,,,,,,
ae2124,2021,11,21,D,24,1,24,31.551917,-64.208683,2021-11-21T14:36:00Z,10:36:00,ae2124_m24_n1,342.5,498.4,599,2400,,,,,,,,,,,,,,,,
ae2124,2021,11,21,D,24,2,24,31.551917,-64.208683,2021-11-21T14:36:00Z,10:36:00,ae2124_m24_n2,365.3,399,498.4,2400,,,,,,,,,,,,,,,,
ae2124,2021,11,21,D,24,3,24,31.551917,-64.208683,2021-11-21T14:36:00Z,10:36:00,ae2124_m24_n3,323.3,299.5,399,2400,,,,,,,,,,,,,,,,
ae2124,2021,11,21,D,24,4,24,31.551917,-64.208683,2021-11-21T14:36:00Z,10:36:00,ae2124_m24_n4,346.8,199.3,299.5,2400,,,,,,,,,,,,,,,,
