Cruise_moc_net,Cruise,year,month,day,D_N,tow,net,ID,station,Latitude,Longitude,yrday_local,hhmm,flow,vol_filt,min_press,max_press,temp,sal,max depth,min depth,CTD used,avg. t,avg sal,avg fluor,max fluor,avg o2,avg PAR,DIC(umol/kg),TA_final(umolkg-1),Si_um/kg ,pH_corr(2),PO4_um/kg,NO2+NO3 (um/kg),uM NH4
OC473_m1_n0,OC473,2011,8,9,D,1,0,1,Test_1,39.5658,-66.6607,220.628785,1505.45,157,892.5,2.9,103.7,22.4633708609271,34.9793543046358,100,0,1,21.051372,35.650103,0.493102,0.493102,188.79459,113.9253,,,,,,,
OC473_m1_n1,OC473,2011,8,9,D,1,1,1.01,Test_1,39.5793,-66.6591,220.646887,1531.517,44,227.1,75.4,105.6,15.9186769230769,35.7610923076923,100,75,1,16.0763612903226,35.8208677419355,0.261109677419355,0.261109677419355,162.642064516129,4.04096774193548,,,,,,,
OC473_m1_n2,OC473,2011,8,9,D,1,2,1.02,Test_1,39.5816,-66.6563,220.649907,1535.866,40,218.9,48.2,74.8,18.9897121212121,35.9991060606061,75,50,1,18.3549392857143,35.7129,0.8931,0.8931,200.308857142857,37.7353571428571,,,,,,,
OC473_m1_n3,OC473,2011,8,9,D,1,3,1.03,Test_1,39.5839,-66.6536,220.652975,1540.284,30,177.1,25.1,49.3,23.686641509434,36.1127924528302,50,25,1,24.8324230769231,35.9991769230769,0.702373076923077,0.702373076923077,201.343961538462,198.030769230769,,,,,,,
OC473_m1_n4,OC473,2011,8,9,D,1,4,1.04,Test_1,39.5857,-66.6514,220.65544,1543.834,52,324.4,1.2,25.9,27.8986701030928,35.5969072164948,25,0,1,26.59715,34.9696772727273,0.127368181818182,0.127368181818182,194.272363636364,252.727272727273,,,,,,,
OC473_m1_n5,OC473,2011,8,9,D,1,5,1.05,Test_1,39.5886,-66.6472,220.659942,1550.316,7,46,1.1,2.7,27.7784444444444,31.5137777777778,0,0,1,26.6523,26.6523,26.6523,26.6523,26.6523,26.6523,,,,,,,
OC473_m2_n0,OC473,2011,8,11,N,2,0,2,1,34.996,-52.0269,223.890486,2122.3,108,791.7,2.3,1005.8,15.0472731829574,35.9767606516291,1000,0,104,15.7147009027081,36.1462640922768,0.0420782347041122,0.0420782347041122,190.987750250752,0.000000000001,2105.8675983849,2374.46317264105,4.61344711826455,7.94180962464162,0.236623476138357,6.59827132309688,0.422400375620861
OC473_m2_n1,OC473,2011,8,11,N,2,1,2.01,1,35.0153,-52.0589,223.929444,2218.399,0,0,870.2,997.5,8.66350561797753,35.1330168539326,1000,800,104,9.86401741293532,35.2882268656716,0.0173825870646766,0.0173825870646766,149.291945273632,0.000000000001,2183.7870178169,2320.72075607406,14.4711308451488,7.6961578954316,1.03720113469117,21.2291390363165,0.703440165562914
OC473_m2_n2,OC473,2011,8,11,N,2,2,2.02,1,35.0194,-52.0652,223.937708,2230.3,0,0,600.7,869.5,13.2264916201117,35.6849162011173,800,600,104,14.3764805970149,35.8990179104478,0.0085592039800995,0.0085592039800995,180.347935323383,0.000000000001,2129.90490007988,2363.01845473181,4.806950562499,7.89789350567511,0.253840850586449,9.4058302286812,0.28994488410596
OC473_m2_n3,OC473,2011,8,11,N,2,3,2.03,1,35.0286,-52.0781,223.95434,2254.25,118,558.8,398.2,599.9,17.0571615120275,36.3673986254296,600,400,104,17.2624805970149,36.4460771144279,0.00376616915422886,0.00376616915422886,203.264393034826,0.000000000001,2110.87697129843,2379.48404469788,3.10325197534478,7.9509925856141,0.0966076635290961,5.80236049032934,0.27699201986755
OC473_m2_n4,OC473,2011,8,11,N,2,4,2.04,1,35.0369,-52.0895,223.96787,2313.733,36,171.4,367.9,397.5,17.6186304347826,36.488347826087,400,200,104,17.7706616915423,36.5576124378109,0.00153582089552239,0.00153582089552239,211.652253731343,0.000000000001,2092.32131028186,2392.99662186547,2.30454599380996,7.99116602560454,0.0176646749977696,3.24306044647426,0.571586650110375
OC473_m2_n5,OC473,2011,8,11,N,2,5,2.05,1,35.0383,-52.0913,223.97,2316.8,281,1323,150.7,367.5,17.7512530120482,36.5150391566265,200,100,104,17.9605712871287,36.5809207920792,0.104475247524752,0.104475247524752,206.400821782178,0.000000000001,2095.05128950975,2393.61611859405,2.22504441182079,7.98547393739619,0.0176646749977696,3.1411865388479,0.654285706401766
OC473_m2_n6,OC473,2011,8,11,N,2,6,2.06,1,35.0489,-52.1052,223.985428,2339.016,151,664.5,50.8,150.2,18.1904795321638,36.5479473684211,100,50,104,18.5580980392157,36.5897254901961,0.424578431372549,0.424578431372549,215.097215686274,0.000000000001,2092.8964291507,2402.08142682369,1.96750768391493,8.00757825564816,0,1.95625938892023,0.207910077262693
OC473_m2_n7,OC473,2011,8,11,N,2,7,2.07,1,35.0546,-52.1129,223.99338,2350.467,65,303.3,25.5,50.6,20.3601392405063,36.4989493670886,50,25,104,21.3274,36.5426384615385,0.119365384615385,0.119365384615385,229.494615384615,0.000000000001,2057.9393697576,2399.71896857143,1.42429741326219,8.06203158148011,0.02753302266207,0.297926274670241,0.145470629139073
OC473_m2_n8,OC473,2011,8,11,N,2,8,2.08,1,35.0574,-52.1164,223.997049,2355.751,56,288.3,-0.1,25.6,25.6346447368421,36.2705263157895,25,0,104,25.6719136363636,36.3232772727273,0.0554409090909091,0.0554409090909091,199.066772727273,0.000000000001,2042.13141630292,2377.41180292511,1.12002500288996,8.07870127992223,0,0,0.19080565397351
OC473_m2_n9,OC473,2011,8,11,N,2,9,2.09,1,35.0608,-52.1184,224.000637,1,6,35,-0.1,0.2,26.638125,36.24725,0,0,104,26.1694,36.2337,0.0617,0.0617,196.714,0.000000000001,2035.3781995553,2373.38227345474,1.18717336865731,8.08238346059128,0,0,0
OC473_m3_n0,OC473,2011,8,21,D,3,0,3,1,35.0685,-52.0771,224.300683,712.984,232,1755.3,4,1010.6,14.7225752212389,35.9304612831859,1000,0,104,15.7147009027081,36.1462640922768,0.0420782347041122,0.0420782347041122,190.987750250752,0.000000000001,2105.8675983849,2374.46317264105,4.61344711826455,7.94180962464162,0.236623476138357,6.59827132309688,0.422400375620861
OC473_m3_n1,OC473,2011,8,21,D,3,1,3.01,1,35.0822,-52.0447,224.342789,813.616,120,573.2,799.9,995.4,10.0858516129032,35.2673225806452,1000,800,104,9.86401741293532,35.2882268656716,0.0173825870646766,0.0173825870646766,149.291945273632,0.000000000001,2183.7870178169,2320.72075607406,14.4711308451488,7.6961578954316,1.03720113469117,21.2291390363165,0.703440165562914
OC473_m3_n2,OC473,2011,8,21,D,3,2,3.02,1,35.085,-52.0382,224.349988,823.983,251,1103.5,602.2,798.6,14.4770454545455,35.8767832167832,800,600,104,14.3764805970149,35.8990179104478,0.0085592039800995,0.0085592039800995,180.347935323383,0.000000000001,2129.90490007988,2363.01845473181,4.806950562499,7.89789350567511,0.253840850586449,9.4058302286812,0.28994488410596
