Cruise,year,month,day,D/N,tow,net,ID,Station,Latitude,Longitude,yrday_local,hhmm,flow,vol_filt,min_press,max_press,temp,sal,max depth,min depth,CTD used,avg. t,avg sal,avg fluor,max fluor,avg o2,avg PAR,DIC(umol/kg),TA_final(umolkg-1),Si_um/kg ,pH_corr(2),PO4_um/kg,NO2+NO3 (um/kg),uM NH4
OC473,2011,8,9,D,1,0,1,Test_1,39.5658,-66.6607,220.628785,1505.45,157,892.5,2.9,103.7,22.46337086,34.9793543,100,0,1,21.051372,35.650103,0.493102,0.493102,188.79459,113.9253,,,,,,,
OC473,2011,8,9,D,1,1,1.01,Test_1,39.5793,-66.6591,220.646887,1531.517,44,227.1,75.4,105.6,15.91867692,35.76109231,100,75,1,16.07636129,35.82086774,0.261109677,0.261109677,162.6420645,4.040967742,,,,,,,
OC473,2011,8,9,D,1,2,1.02,Test_1,39.5816,-66.6563,220.649907,1535.866,40,218.9,48.2,74.8,18.98971212,35.99910606,75,50,1,18.35493929,35.7129,0.8931,0.8931,200.3088571,37.73535714,,,,,,,
OC473,2011,8,9,D,1,3,1.03,Test_1,39.5839,-66.6536,220.652975,1540.284,30,177.1,25.1,49.3,23.68664151,36.11279245,50,25,1,24.83242308,35.99917692,0.702373077,0.702373077,201.3439615,198.0307692,,,,,,,
OC473,2011,8,9,D,1,4,1.04,Test_1,39.5857,-66.6514,220.65544,1543.834,52,324.4,1.2,25.9,27.8986701,35.59690722,25,0,1,26.59715,34.96967727,0.127368182,0.127368182,194.2723636,252.7272727,,,,,,,
OC473,2011,8,9,D,1,5,1.05,Test_1,39.5886,-66.6472,220.659942,1550.316,7,46,1.1,2.7,27.77844444,31.51377778,0,0,1,26.6523,26.6523,26.6523,26.6523,26.6523,26.6523,,,,,,,
OC473,2011,8,11,N,2,0,2,1,34.996,-52.0269,223.890486,2122.3,108,791.7,2.3,1005.8,15.04727318,35.97676065,1000,0,104,15.7147009,36.14626409,0.042078235,0.042078235,190.9877503,1E-12,2105.9,2374.5,4.6,7.9,0.2,6.6,0.4
OC473,2011,8,11,N,2,1,2.01,1,35.0153,-52.0589,223.929444,2218.399,0,0,870.2,997.5,8.663505618,35.13301685,1000,800,104,9.864017413,35.28822687,0.017382587,0.017382587,149.2919453,1E-12,2183.8,2320.7,14.5,7.7,1.0,21.2,0.7
OC473,2011,8,11,N,2,2,2.02,1,35.0194,-52.0652,223.937708,2230.3,0,0,600.7,869.5,13.22649162,35.6849162,800,600,104,14.3764806,35.89901791,0.008559204,0.008559204,180.3479353,1E-12,2129.9,2363.0,4.8,7.9,0.3,9.4,0.3
OC473,2011,8,11,N,2,3,2.03,1,35.0286,-52.0781,223.95434,2254.25,118,558.8,398.2,599.9,17.05716151,36.36739863,600,400,104,17.2624806,36.44607711,0.003766169,0.003766169,203.264393,1E-12,2110.9,2379.5,3.1,8.0,0.1,5.8,0.3
OC473,2011,8,11,N,2,4,2.04,1,35.0369,-52.0895,223.96787,2313.733,36,171.4,367.9,397.5,17.61863043,36.48834783,400,200,104,17.77066169,36.55761244,0.001535821,0.001535821,211.6522537,1E-12,2092.3,2393.0,2.3,8.0,0.0,3.2,0.6
OC473,2011,8,11,N,2,5,2.05,1,35.0383,-52.0913,223.97,2316.8,281,1323,150.7,367.5,17.75125301,36.51503916,200,100,104,17.96057129,36.58092079,0.104475248,0.104475248,206.4008218,1E-12,2095.1,2393.6,2.2,8.0,0.0,3.1,0.7
OC473,2011,8,11,N,2,6,2.06,1,35.0489,-52.1052,223.985428,2339.016,151,664.5,50.8,150.2,18.19047953,36.54794737,100,50,104,18.55809804,36.58972549,0.424578431,0.424578431,215.0972157,1E-12,2092.9,2402.1,2.0,8.0,0.0,2.0,0.2
OC473,2011,8,11,N,2,7,2.07,1,35.0546,-52.1129,223.99338,2350.467,65,303.3,25.5,50.6,20.36013924,36.49894937,50,25,104,21.3274,36.54263846,0.119365385,0.119365385,229.4946154,1E-12,2057.9,2399.7,1.4,8.1,0.0,0.3,0.1
OC473,2011,8,11,N,2,8,2.08,1,35.0574,-52.1164,223.997049,2355.751,56,288.3,-0.1,25.6,25.63464474,36.27052632,25,0,104,25.67191364,36.32327727,0.055440909,0.055440909,199.0667727,1E-12,2042.1,2377.4,1.1,8.1,0.0,0.0,0.2
OC473,2011,8,11,N,2,9,2.09,1,35.0608,-52.1184,224.000637,1,6,35,-0.1,0.2,26.638125,36.24725,0,0,104,26.1694,36.2337,0.0617,0.0617,196.714,1E-12,2035.4,2373.4,1.2,8.1,0.0,0.0,0.0
OC473,2011,8,21,D,3,0,3,1,35.0685,-52.0771,224.300683,712.984,232,1755.3,4,1010.6,14.72257522,35.93046128,1000,0,104,15.7147009,36.14626409,0.042078235,0.042078235,190.9877503,1E-12,2105.9,2374.5,4.6,7.9,0.2,6.6,0.4
OC473,2011,8,21,D,3,1,3.01,1,35.0822,-52.0447,224.342789,813.616,120,573.2,799.9,995.4,10.08585161,35.26732258,1000,800,104,9.864017413,35.28822687,0.017382587,0.017382587,149.2919453,1E-12,2183.8,2320.7,14.5,7.7,1.0,21.2,0.7
OC473,2011,8,21,D,3,2,3.02,1,35.085,-52.0382,224.349988,823.983,251,1103.5,602.2,798.6,14.47704545,35.87678322,800,600,104,14.3764806,35.89901791,0.008559204,0.008559204,180.3479353,1E-12,2129.9,2363.0,4.8,7.9,0.3,9.4,0.3
OC473,2011,8,21,D,3,3,3.03,1,35.0898,-52.0252,224.363275,843.116,337,1476.8,401,601.2,17.24980688,36.40861905,600,400,104,17.2624806,36.44607711,0.003766169,0.003766169,203.264393,1E-12,2110.9,2379.5,3.1,8.0,0.1,5.8,0.3
OC473,2011,8,21,D,3,4,3.04,1,35.0953,-52.0064,224.380845,908.417,321,1409.5,201.5,400.6,17.701425,36.50716944,400,200,104,17.77066169,36.55761244,0.001535821,0.001535821,211.6522537,1E-12,2092.3,2393.0,2.3,8.0,0.0,3.2,0.6
OC473,2011,8,21,D,3,5,3.05,1,35.1009,-51.9898,224.397569,932.499,145,640.4,102,200.9,17.89319018,36.53687117,200,100,104,17.96057129,36.58092079,0.104475248,0.104475248,206.4008218,1E-12,2095.1,2393.6,2.2,8.0,0.0,3.1,0.7
